quarter|time|home action|score|diff|away action
Q1|0:03||||5 CARTER C. Substitute out, 33 WASHINGTON E. Substitute in.
Q1|0:01||||13 BRAXTON JR K. 3PtsFG missed
Q2|10:00|Starters: 1 DA SILVA O., 4 RATHAN-MAYES X., 5 GIFFEY N., 10 JESSUP J., 16 JOVIC S.|-|-|Starters: 0 DUNN-MARTIN T., 13 BRAXTON JR K., 15 BOHANNON N., 25 BANK L., 33 WASHINGTON E.
Q2|10:00|Alternating Possession Gained|||
Q2|9:43||||33 WASHINGTON E. Personal foul (P1,T1)
Q2|9:43|4 RATHAN-MAYES X. Foul drawn|||
Q2|9:35|5 GIFFEY N. Foul drawn|||25 BANK L. Personal foul (P1, T2)
Q2|9:31|4 RATHAN-MAYES X. 2Pts FG outside paint, Jump shot missed, 10 JESSUP J. Offensive rebound.|||
Q2|9:27|10 JESSUP J. 2PtsFG inside paint, Tip-in made|23-23|0|
Q2|9:11||||33 WASHINGTON E. 3Pts FG missed, 15 BOHANNON N. Offensive rebound
Q2|9:02||||33 WASHINGTON E. 3Pts FG missed, 13 BRAXTON JR K. Offensive rebound
Q2|8:57||23-26|-3|33 WASHINGTON E. 3PtsFG made, 13 BRAXTON JR K. Assist
Q2|8:42|16 JOVIC S. 2PtsFG inside paint, Lay-up made, 1 DA SILVA O. Assist|25-26|-1|
Q2|8:32||25-29|-4|0 DUNN-MARTIN T. 3Pts FG made
Q2|8:16|4 RATHAN-MAYES X. 2Pts FG inside paint, Lay-up made|27-29|-2|
Q2|8:16|1 DA SILVA O. Substitute out, 8 KRATZER L. Substitute in|||HARMSEN B. Timeout
Q2|8:16||||15 BOHANNON N. Substitute out, 1 OSOBOR G. Substitute in
Q2|8:00||27-31|-4|1 OSOBOR G. 2PtsFG inside paint, Lay-up made
Q2|7:50|8 KRATZER L. Foul drawn|||1 OSOBOR G. Personal foul (P1,T3)
Q2|7:41|4 RATHAN-MAYES X. 3PtsFG missed|||25 BANK L. Defensive rebound
Q2|7:35|4 RATHAN-MAYES X. Defensive rebound|||13 BRAXTON JR K. 3Pts FG missed
Q2|7:31|4 RATHAN-MAYES X. Turnover, Ball handling|||33 WASHINGTON E. Steal
Q2|7:28|4 RATHAN-MAYES X. Defensive rebound|||0 DUNN-MARTIN T. 3PtsFG missed
Q2|7:23|10 JESSUP J. 2PtsFG fast break, Lay-up made, 4 RATHAN-MAYES X. Assist|29-31|-2|
Q2|7:13||29-34|-5|1 OSOBOR G. 3PtsFG made, 33 WASHINGTON E. Assist
Q2|6:57|8 KRATZER L. Turnover, Bad pass|||1 OSOBOR G. Steal
Q2|6:44|11 LUCIC V. Defensive rebound|||15 BOHANNON N. Free Throw missed 2 of 2
Q2|6:31|5 GIFFEY N. Defensive rebound|||1 OSOBOR G. 3PtsFG missed
Q2|6:31|4 RATHAN-MAYES X. 2Pts FG inside paint, Jump shot missed, 16 JOVIC S. Offensive rebound|||
Q2|6:27|5 GIFFEY N. 3PtsFG made, 16 JOVIC S. Assist|32-34|-2|
Q2|6:10||||33 WASHINGTON E. Turnover, Travelling
Q2|6:10|5 GIFFEY N. Substitute out, 11 LUCIC V. Substitute in|||
Q2|6:10|10 JESSUP J. Substitute out, 22 MIKE I. Substitute in|||0 DUNN-MARTIN T. Substitute out, 5 CARTER C. Substitute in
Q2|6:10||||25 BANK L. Substitute out, 8 CHRISTEN R. Substitute in
Q2|5:59|4 RATHAN-MAYES X. 2PtsFG inside paint, Lay-up made|34-34|0|
Q2|5:42|8 KRATZER L. Steal|||8 CHRISTEN R. Turnover, Bad pass
Q2|5:29|11 LUCIC V. Foul drawn.|||13 BRAXTON JR K. Personal foul (P1,T4)
Q2|5:29||||1 OSOBOR G. Substitute out, 15 BOHANNON N. Substitute in
Q2|5:29||||33 WASHINGTON E. Substitute out, 36 KRAUSE K. Substitute in.
Q2|5:21|16 JOVIC S. 2PtsFG inside paint, Lay-up made|36-34|+2|
Q2|5:03|11 LUCIC V. Defensive rebound|||5 CARTER C. 3PtsFG missed
Q2|4:58||||13 BRAXTON JR K. Substitute out, 0 DUNN-MARTIN T. Substitute in
Q2|4:44|16 JOVIC S. 3PtsFG missed|||
Q2|4:42|Offensive Team rebound|||
Q2|4:33|4 RATHAN-MAYES X. 3Pts FG missed, 16 JOVIC S. Offensive rebound|||
Q2|4:20|16 JOVIC S. 2PtsFG inside paint, Lay-up made|38-34|+4|
Q2|4:11|8 KRATZER L. Personal foul, 2 free throws awarded (P1,T1)|||15 BOHANNON N. Foul drawn
Q2|4:11|4 RATHAN-MAYES X. Substitute out, 10 JESSUP J. Substitute in|||
Q2|4:11|16 JOVIC S. Substitute out, 44 BALDWIN K. Substitute in|38-35|+3|15 BOHANNON N. Free Throw made 1 of 2
Q2|3:52|44 BALDWIN K. 2Pts FG inside paint, Lay-up missed, 22 MIKE I. Offensive rebound.|||
Q2|3:46|44 BALDWIN K. 3PtsFG made, 10 JESSUP J. Assist|41-35|+6|
Q2|3:44||||HARMSEN B. Timeout
Q2|3:44||||5 CARTER C. Substitute out, 13 BRAXTON JR K. Substitute in
Q2|3:44||||36 KRAUSE K. Substitute out, 25 BANK L. Substitute in
Q2|3:32|10 JESSUP J. Personal foul (P2,T2)|||0 DUNN-MARTIN T. Foul drawn
Q2|3:26||41-37|+4|13 BRAXTON JR K. 2PtsFG inside paint, Jump shot made
Q2|3:09|11 LUCIC V. Offensive foul (P1,T3)|||13 BRAXTON JR K. Foul drawn
Q2|3:05|22 MIKE I. Personal foul (P1,T4)|||0 DUNN-MARTIN T. Foul drawn
Q2|2:52||41-39|+2|13 BRAXTON JR K. 2Pts FG outside paint, Jump shot made
Q2|2:32|11 LUCIC V. Foul drawn.|||25 BANK L. Personal foul, 2 free throws awarded (P2, T5)
Q2|2:32|8 KRATZER L. Substitute out, 5 GIFFEY N. Substitute in|||
Q2|2:32||||25 BANK L. Substitute out, 5 CARTER C. Substitute in
Q2|2:32|11 LUCIC V. Free Throw made 1 of 2|42-39|+3|
Q2|2:32|11 LUCIC V. Free Throw made 2 of 2|43-39|+4|
Q2|2:30||||0 DUNN-MARTIN T. Substitute out, 1 OSOBOR G. Substitute in
Q2|2:30||||8 CHRISTEN R. Substitute out, 33 WASHINGTON E. Substitute in
Q2|2:14||43-41|+2|15 BOHANNON N. 2PtsFG inside paint, Lay-up made
Q2|1:56|11 LUCIC V. 3PtsFG missed|||1 OSOBOR G. Defensive rebound
Q2|1:38|11 LUCIC V. Personal foul, 2 free throws awarded (P2,T5)|||1 OSOBOR G. Foul drawn
Q2|1:38|HERBERT G. Timeout|||1 OSOBOR G. Free Throw missed 1 of 2
Q2|1:38|10 JESSUP J. Substitute out, 4 RATHAN-MAYES X. Substitute in|||
Q2|1:38|11 LUCIC V. Substitute out, 8 KRATZER L. Substitute in|43-42|+1|1 OSOBOR G. Free Throw made 2 of 2
Q2|1:23|4 RATHAN-MAYES X. 3PtsFG missed|||13 BRAXTON JR K. Defensive rebound
Q2|1:06|8 KRATZER L. Blocked shot, 22 MIKE I. Defensive rebound|||15 BOHANNON N. 2PtsFG inside paint, Lay-up blocked
Q2|1:01|4 RATHAN-MAYES X. 2PtsFG fast break, Lay-up made, 22 MIKE I. Assist|45-42|+3|
Q2|0:46||45-45|0|1 OSOBOR G. 3PtsFG made, 13 BRAXTON JR K. Assist
Q2|0:31|5 GIFFEY N. 3Pts FG missed|||1 OSOBOR G. Defensive rebound
Q2|0:07||45-47|-2|15 BOHANNON N. 2PtsFG inside paint, Lay-up made
Q2|0:00|4 RATHAN-MAYES X. 3PtsFG made|48-47|+1|
Q3|10:00|Starters: 4 RATHAN-MAYES X., 8 KRATZER L., 11 LUCIC V., 16 JOVIC S., 22 MIKE I.|-|-|Starters: 1 OSOBOR G., 8 CHRISTEN R., 13 BRAXTON JR K., 33 WASHINGTON E., 36 KRAUSE K.
Q3|10:00||||Alternating Possession Gained
Q3|9:46|8 KRATZER L. Defensive rebound|||1 OSOBOR G. 3PtsFG missed
Q3|9:28|22 MIKE I. 3PtsFG missed|||13 BRAXTON JR K. Defensive rebound
Q3|9:11||48-49|-1|1 OSOBOR G. 2PtsFG inside paint, Lay-up made, 33 WASHINGTON E. Assist
Q3|8:54||||33 WASHINGTON E. Personal foul, 2 free throws awarded (P2,T1)
Q3|8:54|16 JOVIC S. Foul drawn|||
Q3|8:54|4 RATHAN-MAYES X. Substitute out, 10 JESSUP J. Substitute in|||
Q3|8:54|16 JOVIC S. Free Throw made 1 of 2|49-49|0|
Q3|8:54|16 JOVIC S. Free Throw missed 2 of 2|||8 CHRISTEN R. Defensive rebound
Q3|8:39|10 JESSUP J. Personal foul (P3,T1)|||13 BRAXTON JR K. Foul drawn.
Q3|8:32|8 KRATZER L. Steal|||33 WASHINGTON E. Turnover, Ball handling
Q3|8:29|16 JOVIC S. 2PtsFG fast break, Lay-up made|51-49|+2|
Q3|8:07|16 JOVIC S. Defensive rebound|||1 OSOBOR G. 2PtsFG outside paint, Jump shot missed
Q3|8:01|22 MIKE I. 2PtsFG inside paint, Lay-up made|53-49|+4|
Q3|7:43||53-51|+2|36 KRAUSE K. 2Pts FG inside paint, Lay-up made
Q3|7:31|16 JOVIC S. 3PtsFG made, 8 KRATZER L. Assist|56-51|+5|
Q3|7:10|10 JESSUP J. Defensive rebound|||1 OSOBOR G. 2PtsFG outside paint, Jump shot missed
Q3|6:56|11 LUCIC V. 3PtsFG made, 10 JESSUP J. Assist|59-51|+8|
Q3|6:55||||HARMSEN B. Timeout
Q3|6:55||||33 WASHINGTON E. Substitute out, 0 DUNN-MARTIN T. Substitute in
Q3|6:31||59-54|+5|0 DUNN-MARTIN T. 3Pts FG made
Q3|6:14|8 KRATZER L. Turnover, Bad pass|||0 DUNN-MARTIN T. Steal
Q3|6:06|8 KRATZER L. Blocked shot|||0 DUNN-MARTIN T. 2PtsFG outside paint, Jump shot blocked, 0 DUNN-MARTIN T. Offensive rebound
Q3|6:01|16 JOVIC S. Defensive rebound|||8 CHRISTEN R. 3PtsFG missed
Q3|5:45|8 KRATZER L. Foul drawn|||13 BRAXTON JR K. Personal foul, 2 free throws awarded (P2,T2)
Q3|5:45|16 JOVIC S. Substitute out, 44 BALDWIN K. Substitute in|||
Q3|5:45||||1 OSOBOR G. Substitute out, 15 BOHANNON N. Substitute in
Q3|5:45||||8 CHRISTEN R. Substitute out, 25 BANK L. Substitute in
Q3|5:45|8 KRATZER L. Free Throw missed 1 of 2|||
Q3|5:45|8 KRATZER L. Free Throw missed 2 of 2|||13 BRAXTON JR K. Defensive rebound
Q3|5:28|44 BALDWIN K. Steal|||0 DUNN-MARTIN T. Turnover, Bad pass
Q3|5:28|22 MIKE I. Foul drawn|||15 BOHANNON N. Personal foul (P2,T3)
Q3|5:10|10 JESSUP J. 3PtsFG missed|||25 BANK L. Defensive rebound
Q3|4:59|8 KRATZER L. Personal foul (P2,T2)|||0 DUNN-MARTIN T. Foul drawn
|4:59|8 KRATZER L. Substitute out, 1 DA SILVA O. Substitute in|||
Q3|4:59|22 MIKE I. Substitute out, 5 GIFFEY N. Substitute in|||13 BRAXTON JR K. Substitute out, 5 CARTER C. Substitute in
Q3|4:42|11 LUCIC V. Defensive rebound|||36 KRAUSE K. 3PtsFG missed
Q3|4:35|11 LUCIC V. 2PtsFG fast break, Lay-up made, 44 BALDWIN K. Assist|61-54|+7|
Q3|4:35|11 LUCIC V. Foul drawn|||15 BOHANNON N. Personal foul, 1 free throw awarded (P3,T4)
Q3|4:35|10 JESSUP J. Substitute out, 4 RATHAN-MAYES X. Substitute in|||
Q3|4:35|11 LUCIC V. Free Throw fast break made 1 of 1|62-54|+8|
Q3|4:24|11 LUCIC V. Defensive rebound|||15 BOHANNON N. 2PtsFG outside paint, Jump shot missed
Q3|4:13|1 DA SILVA O. 2Pts FG inside paint, Lay-up made, 44 BALDWIN K. Assist|64-54|+10|
Q3|4:13||||15 BOHANNON N. Substitute out, 1 OSOBOR G. Substitute in
Q3|4:13||||36 KRAUSE K. Substitute out, 33 WASHINGTON E. Substitute in.
Q3|3:55|4 RATHAN-MAYES X. Personal foul (P1,T3)|||33 WASHINGTON E. Foul drawn
Q3|3:47||64-57|+7|33 WASHINGTON E. 3PtsFG made
Q3|3:29|1 DA SILVA O. 2Pts FG outside paint, Jump shot made, 11 LUCIC V. Assist|66-57|+9|
Q3|3:08||||33 WASHINGTON E. 2Pts FG outside paint, Jump shot missed
Q3|3:07||||Offensive Team rebound
Q3|3:07|1 DA SILVA O. Personal foul (P2,T4)|||1 OSOBOR G. Foul drawn
Q3|3:07|11 LUCIC V. Substitute out, 10 JESSUP J. Substitute in|||5 CARTER C. Substitute out, 13 BRAXTON JR K. Substitute in
Q3|2:55|4 RATHAN-MAYES X. Steal|||1 OSOBOR G. Turnover, Ball handling
Q3|2:43|10 JESSUP J. 2PtsFG inside paint, Jump shot missed|||13 BRAXTON JR K. Defensive rebound
Q3|2:35||66-59|+7|33 WASHINGTON E. 2Pts FG inside paint, Lay-up made
Q3|2:35|10 JESSUP J. Personal foul, 1 free throw awarded (P4,T5)|||33 WASHINGTON E. Foul drawn
Q3|2:35|10 JESSUP J. Substitute out, 16 JOVIC S. Substitute in|66-60|+6|33 WASHINGTON E. Free Throw made 1 of 1
Q3|2:22|16 JOVIC S. Turnover, Ball handling|||33 WASHINGTON E. Steal
