Quarter|Time|Home Action|Score|Diff|Away Action
Q1|01:14||||3 MCCLAIN K. Personal foul, 2 freethrows awarded (P1,T3)
Q1|01:14|11 VERGE JR. A. Foul drawn|||
Q1|01:14|11 VERGE JR. A. Free Throw missed 1 of 2|||
Q1|01:14|11 VERGE JR. A. Free Throw missed 2 of 2|||12 OSUNNIYI O. Defensive rebound
Q1|00:58|11 VERGE JR. A. Defensive rebound|||21 SERIC M. 2Pts FG inside paint, Jump shot missed
Q1|00:44|41 PANDI L. 3PtsFG made, 5 BAMBA T. Assist|22-19|+3|
Q1|00:20||22-21|+1|21 SERIC M. 2PtsFG outside paint, Jump shot made, 10 WILLIAMSON S. Assist
Q1|00:06||||3 MCCLAIN K. Personal foul (P2,T4)
Q1|00:06|11 VERGE JR. A. Foul drawn|||3 MCCLAIN K. Substitute out, 20 WEATHERS M. Substitute in
Q1|00:00|5 BAMBA T. 3PtsFG blocked|||10 WILLIAMSON S. Blocked shot, 12 OSUNNIYI O. Defensive rebound
Q2|10:00|Starters: 5 BAMBA T, 9 FERNER J, 11 VERGE JR. A, 23 DANDRIDGE M, 41 PANDI L.|||Starters: 00 WEATHERS M, 0 HORNE D, 10 WILLIAMSON S, 15 KEBEN M, 20 WEATHERS M.
Q2|10:00|Alternating Possession Gained|||
Q2|09:45|11 VERGE JR. A. Turnover, Bad pass|||10 WILLIAMSON S. Steal
Q2|09:39||22-24|-2|15 KEBEN M. 3Pts FG made, 20 WEATHERS M. Assist
Q2|09:11|11 VERGE JR. A. 2PtsFG inside paint, Lay-up missed|||00 WEATHERS M. Defensive rebound
Q2|08:57|Defensive Team rebound|||15 KEBEN M. 3PtsFG missed
Q2|08:35|11 VERGE JR. A. 2PtsFG inside paint, Jump shot made|24-24|0|
Q2|08:04||24-26|-2|WEATHERS M. 2Pts FG inside paint, Lay-up made, 20 WEATHERS M. Assist
Q2|07:53||||20 WEATHERS M. Personal foul (P1,T1)
Q2|07:53|11 VERGE JR. A. Foul drawn|||
Q2|07:53||||10 WILLIAMSON S. Substitute out, 11 ERSEK E. Substitute in
Q2|07:50|41 PANDI L. Substitute out, 10 BROWN T. Substitute in|||
Q2|07:44|11 VERGE JR. A. 3PtsFG missed|||00 WEATHERS M. Defensive rebound
Q2|07:24||24-28|-4|20 WEATHERS M. 2PtsFG inside paint, Lay-up made
Q2|07:10||||Alternating Possession Gained
Q2|07:02|11 VERGE JR. A. Substitute out, 12 KUHSE T. Substitute in|||
Q2|06:55|12 KUHSE T. Defensive rebound|||0 HORNE D. 3PtsFG missed
Q2|06:48|12 KUHSE T. Foul drawn|||11 ERSEK E. Personal foul (P1,T2)
Q2|06:45|10 BROWN T. 3PtsFG missed|||
Q2|06:43|Offensive Team rebound|||
Q2|06:31|12 KUHSE T. 3Pts FG missed, 5 BAMBA T. Offensive rebound|||
Q2|06:17|23 DANDRIDGE M. 2Pts FG inside paint, Lay-up blocked|||20 WEATHERS M. Blocked shot, 20 WEATHERS M. Defensive rebound
Q2|06:17|23 DANDRIDGE M. Personal foul (P2,T1)|||20 WEATHERS M. Foul drawn
Q2|05:56||||WEATHERS M. Turnover, Ball handling
Q2|05:33|5 BAMBA T. 2PtsFG inside paint, Lay-up made|26-28|-2|
Q2|05:13||||0 HORNE D. 3PtsFG missed
Q2|05:11||||Offensive Team rebound
Q2|05:11|23 DANDRIDGE M. Personal foul (P3,T2)|||15 KEBEN M. Foul drawn
Q2|05:11||||JANSSON D. Timeout
Q2|05:11||||15 KEBEN M. Substitute out, 6 FLOWERS M. Substitute in
Q2|05:11||||20 WEATHERS M. Substitute out, 12 OSUNNIYI O. Substitute in
Q2|05:11|23 DANDRIDGE M. Substitute out, 21 THIEMANN L. Substitute in|||
Q2|04:59||||11 ERSEK E. 3Pts FG missed, 00 WEATHERS M. Offensive rebound
Q2|04:54|10 BROWN T. Steal|||WEATHERS M. Turnover, Bad pass
Q2|04:51|10 BROWN T. 2Pts FG fast break, Lay-up made|28-28|0|
Q2|04:37|9 FERNER J. Personal foul (P1,T3)|||WEATHERS M. Foul drawn
Q2|04:29||28-31|-3|6 FLOWERS M. 3Pts FG made, 11 ERSEK E. Assist
Q2|04:19|12 KUHSE T. Turnover, Bad pass|||00 WEATHERS M. Steal
Q2|04:15||||11 ERSEK E. 3Pts FG missed, 00 WEATHERS M. Offensive rebound
Q2|04:08||28-33|-5|0 HORNE D. 2PtsFG inside paint, Lay-up made
Q2|04:08|9 FERNER J. Personal foul, 1 free throw awarded (P2, T4)|||0 HORNE D. Foul drawn
Q2|04:08|HELD C. Timeout|||
Q2|04:08|5 BAMBA T. Substitute out, 14 HERKENHOFF P. Substitute in|||
Q2|04:08|9 FERNER J. Substitute out, 41 PANDI L. Substitute in|||11 ERSEK E. Substitute out, 10 WILLIAMSON S. Substitute in
Q2|04:08||28-34|-6|0 HORNE D. Free Throw made 1 of 1
Q2|03:48|12 KUHSE T. 2Pts FG inside paint, Lay-up made|30-34|-4|
Q2|03:37|10 BROWN T. Foul drawn|||6 FLOWERS M. Offensive foul (P1,T3)
Q2|03:37||||WEATHERS M. Substitute out, 20 WEATHERS M. Substitute in
Q2|03:37||||0 HORNE D. Substitute out, 21 SERIC M. Substitute in
Q2|03:27||||10 WILLIAMSON S. Personal foul (P1,T4)
Q2|03:27|10 BROWN T. Foul drawn|||
Q2|03:23|12 KUHSE T. 3PtsFG missed|||10 WILLIAMSON S. Defensive rebound
Q2|02:59|12 KUHSE T. Defensive rebound|||21 SERIC M. 3PtsFG missed
Q2|02:50|21 THIEMANN L. 2PtsFG inside paint, Dunk missed|||10 WILLIAMSON S. Defensive rebound
Q2|02:41|41 PANDI L. Steal|||20 WEATHERS M. Turnover, Ball handling
Q2|02:41|41 PANDI L. Offensive foul (P1,T5)|||12 OSUNNIYI O. Foul drawn
Q2|02:41|12 KUHSE T. Substitute out, 11 VERGE JR. A. Substitute in|||
Q2|02:39|41 PANDI L. Personal foul, 2 free throws awarded (P2, T6)|||
Q2|02:21||||10 WILLIAMSON S. Foul drawn
Q2|02:21||||6 FLOWERS M. Substitute out, 3 MCCLAIN K. Substitute in
Q2|02:21||30-35|-5|10 WILLIAMSON S. Free Throw made 1 of 2
Q2|02:21||30-36|-6|10 WILLIAMSON S. Free Throw made 2 of 2
Q2|02:05|11 VERGE JR. A. Foul drawn|||3 MCCLAIN K. Personal foul, 2 free throws awarded (P3,T5)
Q2|02:05||||3 MCCLAIN K. Substitute out, 0 HORNE D. Substitute in
Q2|02:05|11 VERGE JR. A. Free Throw made 1 of 2|31-36|-5|
Q2|02:05|11 VERGE JR. A. Free Throw missed 2 of 2|||10 WILLIAMSON S. Defensive rebound
Q2|02:00|14 HERKENHOFF P. Personal foul, 2 freethrows awarded (P3,T7)|||
Q2|02:00|14 HERKENHOFF P. Substitute out, 5 BAMBA T. Substitute in|||10 WILLIAMSON S. Foul drawn
Q2|02:00||||3 WILLIAMSON S. Free Throw missed 1 of 2
Q2|02:00||31-37|-6|10 WILLIAMSON S. Free Throw made 2 of 2, 10 WILLIAMSON S. Assist
Q2|02:00|41 PANDI L. Substitute out, 12 KUHSE T. Substitute in|||
